"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_361",61.0249496681198,4.11128279150392,361
"TT_362",11.8118353081195,2.46910202102453,362
"TT_363",6.32620808918769,1.84470101861809,363
"TT_364",4.37722076974835,1.4764139955359,364
"TT_365",3.71677986494918,1.31285766571122,365
"TT_366",3.12956717305103,1.14089471161976,366
"TT_367",2.48788317910181,0.911432220037357,367
"TT_368",2.40320006086088,0.876801207912614,368
"TT_369",1.85316841654809,0.616896831758153,369
"TT_370",1.69347538376748,0.526782857455537,370
"TT_371",1.54605088712908,0.435703864972224,371
"TT_372",1.947540048806,0.666567062764931,372
"TT_373",1.21344755618365,0.193465528261472,373
"TT_374",1.31238349957722,0.271844949317159,374
"TT_375",1.71225280067332,0.537809930763001,375
"TT_376",2.19396377620405,0.785709851326608,376
"TT_377",1.10879171794888,0.103270880043281,377
"TT_378",1.83926440130447,0.609365709787062,378
"TT_379",1.08852598720632,0.0848244757357455,379
"TT_380",1.23095729603915,0.207792156136861,380
"TT_381",1.04849978874027,0.047360369872238,381
"TT_382",1.06312258363567,0.061210411277148,382
"TT_383",1.21065633203937,0.191162635723409,383
"TT_384",1.22525750292386,0.203151028374867,384
"TT_385",1.26823671098912,0.23762751918317,385
"TT_386",1.46044946561508,0.378744241504195,386
"TT_387",0.97108508605125,-0.0293411872886087,387
"TT_388",1.5702686954802,0.451246748334781,388
"TT_389",0.933749158864824,-0.0685474433496263,389
"TT_390",1.21736567230047,0.196689239128354,390
"TT_391",0.820967977000039,-0.197271175162478,391
"TT_392",1.36634714247068,0.312140859514912,392
"TT_393",1.44684489092375,0.369385248347211,393
"TT_394",0.558624587171659,-0.58227761073679,394
"TT_395",0.815747162087261,-0.203650822414836,395
"TT_396",0.529200072705517,-0.636388709353747,396
"TT_397",0.562535442981694,-0.575301137143359,397
"TT_398",1.54732877886126,0.436530075746756,398
"TT_399",1.11937886560873,0.112773947190344,399
"TT_400",0.543612320065348,-0.60951893311843,400
"TT_401",0.487393039954987,-0.718684417837621,401
"TT_402",2.60284506266602,0.956605101638515,402
